OrderID,Date,Time,TotalCost,EmployeeID,CustomerID
44,2025-02-06,13:30:00,10.7,8,1
45,2025-05-23,16:45:00,13.2,8,
46,2025-08-25,17:45:00,30.15,4,6
47,2025-06-06,20:00:00,14.2,7,146
48,2025-08-25,18:00:00,68.5,6,50
49,2025-02-19,20:15:00,27.4,7,
50,2025-05-06,11:45:00,10.95,2,
51,2025-06-07,14:45:00,11.95,6,132
52,2025-06-28,08:00:00,10.95,6,3
53,2025-05-18,15:45:00,16.45,6,26
54,2025-05-17,17:00:00,14.45,7,140
55,2025-06-14,13:15:00,7.95,3,118
56,2025-09-06,17:30:00,25.15,5,59
57,2025-07-04,13:15:00,14.45,7,60
58,2025-04-11,12:30:00,34.6,1,72
59,2025-02-22,16:00:00,32.6,2,110
60,2025-08-15,17:45:00,24.15,5,
61,2025-06-06,12:45:00,15.45,2,12
62,2025-09-19,13:45:00,22.65,4,
63,2025-01-19,18:30:00,39.6,4,
64,2025-05-23,14:00:00,21.9,8,124
65,2025-09-17,19:30:00,11.7,6,98
66,2025-09-10,18:45:00,21.65,5,
67,2024-12-21,16:00:00,24.4,5,40
68,2025-03-13,09:30:00,38.1,8,92
69,2025-05-24,15:00:00,12.2,1,153
70,2025-03-08,13:15:00,38.35,5,101
71,2025-05-30,18:15:00,51.55,3,
72,2025-09-26,10:30:00,8.95,4,95
73,2025-01-17,14:15:00,38.1,4,54
74,2025-05-28,19:00:00,25.15,8,109
75,2025-09-06,18:15:00,13.45,6,16
76,2025-03-24,11:30:00,9.95,6,
77,2025-09-06,08:30:00,28.9,4,
78,2025-01-25,13:00:00,8.95,3,
79,2024-11-30,08:00:00,11.45,7,21
80,2025-07-27,21:00:00,24.65,7,63
81,2025-05-24,21:30:00,14.7,5,
82,2025-04-29,12:00:00,60.05,3,105
83,2025-08-08,14:30:00,12.45,2,104
84,2025-04-06,13:15:00,28.9,3,
85,2025-09-10,09:15:00,60.8,3,157
86,2025-09-27,16:00:00,12.95,3,65
87,2024-11-25,16:15:00,10.45,5,
88,2025-01-04,13:45:00,7.95,4,13
89,2025-04-19,13:00:00,16.2,8,77
90,2024-12-23,19:15:00,42.1,4,72
91,2025-08-25,14:45:00,51.55,5,19
92,2025-01-06,12:15:00,16.9,2,96
93,2025-02-06,15:00:00,36.35,3,144
94,2025-09-02,13:45:00,35.6,3,103
95,2025-05-27,20:15:00,56.3,4,
96,2025-02-07,15:45:00,42.35,4,
97,2025-02-12,18:00:00,13.45,3,51
98,2025-08-25,20:45:00,52.3,2,97
99,2025-05-30,09:00:00,14.7,7,129
100,2025-03-25,18:45:00,25.4,4,102
101,2024-12-07,18:45:00,27.9,6,107
102,2025-04-28,12:00:00,22.15,2,106
103,2024-12-14,12:15:00,25.4,6,117
104,2025-08-20,18:45:00,11.95,4,57
105,2025-04-04,16:30:00,13.45,2,29
106,2025-04-07,19:15:00,14.45,6,71
107,2025-07-04,21:30:00,23.9,8,40
108,2024-12-22,20:00:00,59.8,3,10
109,2025-03-31,21:45:00,35.85,8,55
110,2025-09-13,08:00:00,29.4,3,140
111,2025-06-12,14:15:00,24.15,5,
112,2025-03-07,17:30:00,10.7,1,61
113,2025-01-28,18:15:00,28.15,6,103
114,2025-08-08,08:45:00,8.95,2,139
115,2025-09-22,20:30:00,45.85,6,6
116,2025-06-05,13:30:00,24.4,2,
117,2025-05-21,12:30:00,53.55,3,34
118,2025-09-27,14:45:00,13.45,5,4
119,2024-12-03,08:45:00,10.95,6,158
120,2025-09-07,17:00:00,28.9,8,51
121,2025-01-10,20:15:00,46.35,3,103
122,2025-05-26,13:00:00,13.45,8,73
123,2025-01-13,13:00:00,47.35,6,12
124,2025-04-08,12:45:00,7.95,8,141
125,2025-06-23,15:30:00,22.9,5,58
126,2025-05-30,21:30:00,33.1,6,99
127,2025-01-03,14:15:00,12.7,4,46
128,2025-01-20,17:15:00,13.45,6,
129,2025-05-31,21:00:00,17.45,3,
130,2025-08-15,21:30:00,38.85,7,156
131,2025-08-31,19:30:00,33.6,4,41
132,2025-08-25,19:30:00,59.8,5,17
133,2025-02-14,15:00:00,10.95,8,
134,2025-06-06,17:00:00,11.45,4,2
135,2025-07-12,12:45:00,52.05,2,18
136,2025-08-25,16:00:00,48.55,5,80
137,2025-09-09,18:45:00,25.65,5,7
138,2025-04-04,17:30:00,25.15,3,74
139,2025-03-30,13:30:00,28.15,3,
140,2025-04-19,12:45:00,10.45,3,112
141,2025-05-05,18:45:00,24.4,3,147
142,2025-07-24,12:45:00,13.45,8,
143,2025-06-13,12:15:00,9.45,5,102
144,2024-12-20,18:45:00,32.4,8,138
145,2024-11-22,16:15:00,9.95,2,115
146,2025-03-17,11:30:00,11.45,6,33
147,2025-03-08,10:45:00,12.45,6,58
148,2025-06-28,21:00:00,10.7,1,36
149,2025-04-12,14:30:00,63.05,7,92
150,2025-08-25,10:45:00,41.85,4,153
151,2025-08-15,21:15:00,10.7,5,147
152,2025-05-08,19:15:00,16.45,5,72
153,2025-09-14,20:45:00,8.95,6,10
154,2025-03-09,08:30:00,12.2,3,
155,2025-02-01,13:15:00,49.3,7,2
156,2024-12-25,21:30:00,35.35,2,104
157,2025-02-09,13:30:00,25.65,3,66
158,2025-05-28,19:00:00,16.45,8,
159,2025-05-02,20:45:00,43.35,8,147
160,2025-06-24,14:30:00,13.45,2,19
161,2025-07-27,08:15:00,23.9,6,5
162,2024-11-29,19:30:00,59.05,3,
163,2024-11-23,14:15:00,41.3,5,
164,2025-04-04,21:30:00,13.7,7,
165,2025-08-30,12:30:00,25.9,4,55
166,2025-06-01,16:45:00,25.9,3,
167,2025-03-27,09:00:00,13.45,4,136
168,2025-08-08,20:15:00,10.7,2,59
169,2025-02-24,08:30:00,26.15,6,2
170,2024-12-02,09:00:00,25.15,4,93
171,2025-08-25,08:00:00,40.6,5,152
172,2025-05-23,15:45:00,28.65,3,
173,2025-05-31,08:15:00,13.7,3,
174,2025-05-08,20:45:00,26.9,3,48
175,2024-12-12,18:00:00,35.35,2,52
176,2025-06-30,20:00:00,8.95,3,20
177,2025-01-12,13:00:00,8.95,6,126
178,2025-04-18,20:00:00,27.4,2,88
179,2025-05-21,19:45:00,24.4,7,59
180,2025-06-21,21:45:00,11.7,1,
181,2025-01-02,13:30:00,53.8,6,155
182,2025-06-04,20:30:00,38.85,4,39
183,2025-03-21,18:45:00,18.4,3,
184,2024-11-20,09:15:00,9.95,8,88
185,2025-04-09,19:30:00,38.1,4,101
186,2025-08-22,13:30:00,27.4,2,
187,2025-01-25,20:30:00,25.15,3,32
188,2025-06-15,16:00:00,47.3,5,12
189,2024-12-21,10:45:00,26.65,3,153
190,2025-06-13,16:30:00,19.65,6,19
191,2025-01-04,20:00:00,45.85,8,135
192,2025-07-02,08:15:00,38.85,3,
193,2025-03-29,19:45:00,42.6,4,
194,2025-05-24,12:30:00,10.7,4,45
195,2025-03-07,14:45:00,55.05,2,148
196,2025-06-02,19:30:00,29.15,4,41
197,2025-03-16,19:00:00,21.4,1,66
198,2025-01-11,19:30:00,32.4,7,
199,2024-12-17,18:00:00,16.45,6,70
200,2025-07-06,21:15:00,23.9,3,121
201,2025-09-16,21:45:00,9.7,8,77
202,2025-03-13,17:30:00,10.45,6,120
203,2025-06-03,19:30:00,13.7,6,100
204,2025-02-15,17:30:00,13.45,4,61
205,2025-01-30,21:30:00,39.35,3,30
206,2025-06-03,08:30:00,25.4,5,46
207,2025-02-06,16:00:00,15.2,4,43
208,2025-09-17,12:15:00,24.15,4,
209,2025-07-13,21:45:00,16.2,7,107
210,2025-09-27,19:30:00,45.85,2,7
211,2025-02-22,12:30:00,14.7,3,157
212,2025-06-09,19:30:00,48.85,3,95
213,2025-06-12,15:15:00,39.35,4,16
214,2025-09-30,18:45:00,11.7,6,31
215,2025-03-18,16:45:00,20.65,3,9
216,2025-01-04,13:45:00,49.35,5,151
217,2025-09-16,17:30:00,22.9,7,49
218,2025-05-10,15:45:00,21.4,8,19
219,2025-09-26,15:15:00,53.8,4,37
220,2025-01-25,14:30:00,13.7,2,24
221,2025-05-14,21:15:00,55.3,1,120
222,2025-06-02,15:15:00,16.2,1,47
223,2024-12-13,17:00:00,22.15,2,149
224,2024-12-22,20:45:00,38.85,1,86
225,2025-05-21,14:45:00,24.9,2,
226,2025-01-28,09:45:00,37.85,4,36
227,2025-08-23,15:00:00,38.85,5,151
228,2025-04-18,15:45:00,26.65,4,113
229,2025-08-22,12:45:00,37.35,7,63
230,2025-08-17,14:00:00,8.95,4,21
231,2025-02-18,19:00:00,12.7,4,
232,2024-12-28,15:30:00,11.7,6,142
233,2025-05-08,15:00:00,43.6,4,130
234,2024-11-22,15:00:00,14.45,4,127
235,2025-04-12,13:00:00,9.95,4,132
236,2025-03-18,15:30:00,30.4,4,
237,2025-08-25,11:45:00,51.8,8,
238,2025-05-16,20:30:00,12.7,1,75
239,2025-06-13,15:45:00,17.2,2,79
240,2025-04-19,14:00:00,45.1,5,
241,2025-09-27,20:00:00,10.7,6,116
242,2025-02-01,11:15:00,38.1,1,110
243,2025-08-25,21:30:00,36.6,8,
244,2025-06-09,14:15:00,13.7,4,147
245,2025-03-04,21:45:00,36.1,3,
246,2025-08-03,21:45:00,24.15,7,37
247,2025-09-11,18:45:00,48.1,6,7
248,2024-12-21,12:30:00,10.7,8,152
249,2024-12-20,08:30:00,22.9,2,110
250,2024-12-17,09:30:00,29.15,5,72
251,2025-03-14,21:15:00,8.95,3,40
252,2025-05-21,10:30:00,33.85,2,63
253,2025-05-14,13:00:00,44.85,6,141
254,2025-02-15,09:45:00,18.95,8,10
255,2025-08-22,20:45:00,11.95,6,
256,2025-07-12,08:15:00,39.85,6,
257,2025-04-12,17:15:00,40.1,4,27
258,2024-11-29,16:30:00,16.2,5,10
259,2024-12-12,15:30:00,46.3,3,86
260,2025-07-25,15:45:00,11.7,2,
261,2024-12-01,11:00:00,25.15,6,
262,2025-02-05,15:15:00,28.15,5,114
263,2025-01-15,15:30:00,12.7,5,
264,2025-03-24,10:15:00,26.9,1,101
265,2025-01-24,15:15:00,14.7,3,
266,2025-07-19,18:15:00,10.7,4,53
267,2025-06-13,11:45:00,15.9,7,41
268,2025-06-08,20:45:00,27.15,4,112
269,2024-12-30,12:00:00,28.4,1,
270,2025-02-13,19:30:00,9.95,6,
271,2025-03-22,12:30:00,50.05,8,37
272,2025-09-12,17:00:00,40.1,2,
273,2025-08-25,12:00:00,62.0,6,78
274,2025-01-08,19:15:00,15.2,3,116
275,2025-05-27,21:45:00,44.8,3,74
276,2024-12-06,11:30:00,36.85,1,51
277,2025-04-11,12:00:00,18.4,5,136
278,2025-02-02,17:15:00,27.9,8,
279,2025-08-29,18:00:00,23.65,5,92
280,2025-07-26,11:30:00,14.45,3,15
281,2025-03-11,14:00:00,11.7,5,138
282,2024-12-31,15:45:00,29.9,5,12
283,2025-08-25,09:30:00,45.85,2,148
284,2025-02-21,19:45:00,13.7,3,100
285,2024-12-23,09:15:00,37.1,5,54
286,2024-12-06,16:30:00,30.4,5,98
287,2025-02-25,09:30:00,43.3,6,147
288,2025-04-16,14:00:00,11.7,8,57
289,2025-01-17,12:15:00,33.9,6,63
290,2025-04-03,11:45:00,26.65,2,42
291,2025-08-25,08:45:00,52.8,4,
292,2025-05-02,15:15:00,17.45,4,45
293,2025-06-29,19:30:00,38.6,6,27
294,2024-12-14,21:30:00,25.4,5,
295,2024-11-30,19:45:00,9.95,3,53
296,2025-02-03,21:00:00,33.6,8,127
297,2025-02-28,19:45:00,11.45,4,86
298,2025-04-18,09:15:00,14.95,7,82
299,2025-07-20,16:30:00,12.45,6,96
300,2025-04-11,10:45:00,31.9,6,82
301,2025-01-13,10:30:00,42.6,3,114
302,2025-03-26,08:45:00,23.4,7,12
303,2025-04-27,15:00:00,25.4,3,87
304,2025-09-27,14:15:00,14.7,2,149
305,2025-07-12,20:00:00,45.35,8,157
306,2025-02-08,14:00:00,44.35,6,144
307,2025-08-29,11:45:00,46.6,3,57
308,2025-02-20,18:30:00,15.2,2,
309,2025-08-15,19:30:00,21.65,6,88
310,2025-08-23,15:30:00,22.65,8,154
311,2025-07-17,08:00:00,22.65,3,40
312,2025-07-29,08:45:00,41.6,4,156
313,2024-11-23,10:30:00,42.6,6,77
314,2025-07-04,18:45:00,20.4,5,114
315,2025-06-04,21:00:00,51.55,8,
316,2025-03-08,19:15:00,14.7,3,100
317,2024-12-30,18:15:00,35.35,4,94
318,2025-04-12,12:15:00,13.45,5,
319,2025-04-20,21:30:00,52.3,3,
320,2025-05-11,14:30:00,24.4,8,
321,2024-11-24,19:15:00,16.45,3,145
322,2025-09-20,13:30:00,27.15,1,146
323,2025-08-23,21:30:00,12.45,1,107
324,2025-09-21,20:15:00,25.9,2,109
325,2025-06-10,21:00:00,29.85,6,135
326,2025-01-18,13:30:00,32.9,8,70
327,2025-09-15,09:30:00,53.55,5,151
328,2025-07-19,14:45:00,7.95,5,15
329,2025-06-21,17:30:00,11.7,2,84
330,2025-08-25,17:30:00,47.6,1,100
331,2025-03-09,18:45:00,50.55,3,
332,2025-07-01,08:15:00,16.45,2,114
333,2025-07-11,12:45:00,25.4,7,152
334,2024-12-14,14:45:00,7.95,8,22
335,2025-03-12,21:00:00,24.15,8,150
336,2025-05-30,12:45:00,15.7,4,73
337,2025-07-17,21:30:00,25.15,2,103
338,2025-09-20,20:45:00,14.7,4,
339,2025-09-02,14:30:00,33.6,1,102
340,2025-08-08,08:30:00,13.45,3,157
341,2025-02-25,17:15:00,35.6,3,84
342,2025-03-20,19:00:00,29.4,5,22
343,2025-06-21,15:45:00,17.2,6,
344,2025-07-02,15:30:00,40.6,7,
345,2025-01-25,19:45:00,22.65,8,148
346,2025-01-25,18:30:00,17.45,8,110
347,2025-08-15,19:45:00,14.2,8,62
348,2025-01-14,21:00:00,11.95,3,
349,2025-04-25,17:00:00,14.7,8,44
350,2025-08-28,17:45:00,16.2,8,
351,2025-02-26,12:15:00,35.4,2,56
352,2024-12-27,14:45:00,10.7,6,120
353,2025-09-18,12:15:00,46.8,7,65
354,2025-02-07,16:30:00,34.6,6,49
355,2025-08-25,20:00:00,25.4,4,
356,2025-03-22,17:15:00,36.6,8,39
357,2025-08-25,20:30:00,72.75,3,144
358,2025-02-08,09:30:00,15.95,6,
359,2025-08-25,12:30:00,35.35,2,55
360,2025-09-22,18:45:00,19.95,8,103
361,2024-12-31,21:15:00,13.45,8,65
362,2025-07-10,18:00:00,23.4,6,97
363,2025-05-08,20:15:00,15.2,8,135
364,2025-01-30,15:00:00,58.3,1,
365,2025-09-26,17:15:00,22.65,6,
366,2025-08-25,14:15:00,40.6,4,106
367,2025-07-31,19:45:00,11.7,6,
368,2024-12-26,08:45:00,14.7,3,
369,2025-06-21,21:45:00,43.1,6,137
370,2025-05-22,19:00:00,22.4,6,89
371,2025-08-16,17:30:00,28.15,5,114
372,2025-03-02,17:00:00,17.45,3,124
373,2025-08-09,21:30:00,11.7,2,56
374,2025-01-11,15:15:00,46.3,8,76
375,2024-12-07,17:45:00,15.2,6,20
376,2024-12-10,14:30:00,16.2,8,106
377,2025-03-23,16:00:00,13.7,8,8
378,2025-08-02,08:15:00,13.45,8,116
379,2025-01-31,13:15:00,31.65,4,94
380,2025-01-11,10:00:00,13.45,4,84
381,2025-06-13,21:45:00,26.4,5,4
382,2025-03-08,14:30:00,41.1,8,10
383,2025-05-20,19:30:00,39.1,5,69
384,2025-02-24,11:30:00,38.85,4,
385,2025-07-02,14:00:00,12.95,8,51
386,2025-08-29,12:00:00,13.7,3,
387,2025-06-28,12:30:00,25.15,8,130
388,2025-01-13,20:00:00,28.9,6,
389,2025-04-25,14:00:00,14.7,4,108
390,2025-08-22,21:15:00,46.05,8,91
391,2025-08-15,14:45:00,8.95,6,59
392,2025-07-25,19:30:00,40.1,8,60
393,2025-02-08,10:15:00,50.05,4,94
394,2025-08-25,13:15:00,37.35,3,107
395,2024-11-28,15:00:00,32.65,8,52
396,2025-07-10,21:45:00,16.95,3,
397,2025-05-23,12:15:00,10.95,6,
398,2025-04-06,19:00:00,45.1,5,16
399,2025-09-14,13:15:00,37.6,2,
400,2024-11-25,14:30:00,22.4,8,
401,2025-07-25,13:00:00,15.95,5,130
402,2025-06-19,15:45:00,14.7,4,27
403,2025-05-10,20:15:00,28.15,3,70
404,2025-07-27,09:45:00,27.4,8,128
405,2025-07-05,12:30:00,11.95,3,39
406,2025-02-06,14:30:00,13.45,7,
407,2025-02-07,16:00:00,11.45,2,77
408,2025-05-10,21:30:00,33.4,4,157
409,2025-04-10,16:15:00,11.7,4,86
410,2025-04-05,17:30:00,37.1,3,77
411,2025-04-11,15:00:00,48.05,4,54
412,2025-02-17,09:30:00,14.2,3,124
413,2024-12-07,12:30:00,55.55,3,154
414,2025-08-25,14:45:00,67.5,2,105
415,2025-01-26,18:15:00,14.7,4,59
416,2025-02-16,13:15:00,53.55,4,24
417,2025-09-07,20:45:00,17.45,6,
418,2025-01-23,10:30:00,41.6,8,
419,2025-05-24,21:30:00,8.95,5,90
420,2025-08-23,13:30:00,26.4,4,7
421,2025-07-13,19:45:00,31.4,4,69
422,2025-05-23,09:00:00,10.7,3,43
423,2025-08-01,21:00:00,11.7,4,153
424,2025-08-29,17:30:00,46.35,4,17
425,2025-03-01,13:00:00,23.9,3,96
426,2025-07-11,12:00:00,34.85,7,
427,2025-06-03,16:15:00,23.9,4,64
428,2025-01-03,16:00:00,34.65,3,63
429,2025-05-07,17:45:00,15.2,3,156
430,2025-08-25,12:15:00,37.1,4,54
431,2024-11-21,11:15:00,12.45,3,104
432,2025-01-26,17:00:00,34.85,5,
433,2025-03-01,12:30:00,38.35,4,52
434,2025-08-05,20:15:00,23.4,4,10
435,2025-02-09,21:00:00,13.7,6,34
436,2025-08-27,16:00:00,27.4,7,126
437,2025-05-24,18:15:00,32.4,5,
438,2025-08-25,21:15:00,39.6,8,139
439,2025-08-25,21:00:00,41.6,8,119
440,2025-08-26,12:45:00,16.45,1,40
441,2025-08-29,15:45:00,26.15,6,71
442,2025-02-22,14:15:00,56.8,7,125
443,2025-03-14,13:00:00,24.4,6,132
444,2024-11-29,14:00:00,30.9,5,105
445,2025-03-01,11:15:00,9.95,6,41
446,2025-06-19,16:15:00,11.7,2,32
447,2025-01-18,18:45:00,26.4,1,143
448,2025-07-25,09:45:00,13.7,4,16
449,2025-05-28,17:15:00,45.85,5,66
450,2025-09-01,13:30:00,11.7,3,98
451,2025-07-18,10:45:00,28.65,5,
452,2025-02-22,18:15:00,22.4,7,4
453,2025-09-27,14:30:00,11.7,4,105
454,2025-08-16,12:30:00,51.8,5,154
455,2025-07-18,13:45:00,13.45,6,150
456,2025-06-21,17:30:00,37.1,6,
457,2024-12-15,16:45:00,13.45,8,
458,2025-09-27,13:00:00,13.45,7,
459,2025-01-05,19:30:00,58.05,6,
460,2025-04-26,10:45:00,11.7,2,88
461,2025-01-29,14:00:00,61.05,4,158
462,2025-03-17,21:45:00,38.6,5,
463,2025-08-30,21:00:00,49.8,5,58
464,2025-07-23,11:45:00,28.6,8,
465,2025-06-14,13:45:00,55.3,4,
466,2025-01-09,12:00:00,14.7,6,11
467,2025-05-01,19:00:00,28.15,8,46
468,2025-06-05,21:15:00,12.7,6,151
469,2024-11-30,20:45:00,33.6,4,110
470,2024-11-21,20:15:00,14.45,1,145
471,2025-06-13,11:15:00,12.2,6,100
472,2025-08-25,10:30:00,47.05,1,15
473,2025-02-27,10:30:00,13.7,2,46
474,2025-05-29,20:15:00,8.95,1,
475,2025-08-23,19:15:00,35.85,4,68
476,2025-05-26,21:45:00,14.7,4,11
477,2024-12-21,11:15:00,27.4,6,67
478,2025-04-11,12:45:00,40.6,7,11
479,2025-05-20,08:00:00,25.15,2,116
480,2025-01-23,14:45:00,41.35,8,151
481,2025-04-24,17:45:00,24.15,8,13
482,2025-08-25,13:00:00,29.9,5,52
483,2024-12-28,14:00:00,14.7,7,1
484,2025-05-24,10:45:00,35.1,2,
485,2025-09-26,16:00:00,23.15,4,99
486,2025-01-31,16:15:00,48.55,1,12
487,2025-08-15,18:15:00,27.9,6,81
488,2024-12-08,13:15:00,13.45,4,
489,2025-02-14,14:00:00,11.45,2,130
490,2025-01-31,15:45:00,12.7,8,82
491,2025-08-25,10:00:00,21.4,2,120
492,2025-03-01,19:45:00,61.05,4,139
493,2025-04-26,20:15:00,13.45,7,90
494,2025-07-25,11:00:00,37.35,4,65
495,2025-05-24,16:15:00,21.65,1,58
496,2025-05-09,19:30:00,13.45,6,148
497,2025-09-20,21:45:00,43.85,4,54
498,2025-06-21,12:00:00,12.7,8,
499,2025-06-21,18:45:00,15.2,8,63
500,2025-09-30,20:15:00,25.4,4,133
501,2025-06-13,08:00:00,14.2,5,114
502,2025-02-28,18:00:00,14.7,4,34
503,2025-08-27,09:00:00,35.1,5,3
504,2025-07-06,21:45:00,18.9,2,157
505,2025-08-03,19:45:00,27.15,4,59
506,2025-05-18,21:30:00,33.85,3,84
507,2025-05-22,20:30:00,30.15,1,100
508,2024-11-29,10:45:00,15.7,8,66
509,2025-09-16,20:15:00,33.85,4,6
510,2025-02-07,20:15:00,10.95,2,61
511,2025-06-07,20:00:00,26.4,6,140
512,2025-07-12,20:30:00,30.9,4,158
513,2025-05-22,19:45:00,15.2,7,
514,2024-12-20,19:15:00,51.3,7,81
515,2025-04-02,19:45:00,26.4,3,139
516,2025-06-07,17:15:00,20.15,4,122
517,2025-03-21,10:30:00,24.65,3,
518,2024-12-07,14:30:00,10.7,3,152
519,2024-11-29,18:15:00,30.15,1,114
520,2025-08-30,19:00:00,43.1,3,29
521,2025-08-01,20:30:00,24.65,6,36
522,2025-06-12,13:00:00,22.4,3,60
523,2025-06-22,18:15:00,13.7,5,145
524,2025-03-31,10:15:00,12.95,2,
525,2025-03-03,14:15:00,11.95,8,86
526,2025-03-21,20:00:00,15.95,7,
527,2025-06-07,12:00:00,11.45,6,151
528,2025-05-26,16:00:00,26.4,6,
529,2024-11-30,20:30:00,29.15,5,
530,2025-09-14,14:45:00,15.7,3,99
531,2025-04-01,13:45:00,40.1,7,128
532,2025-07-18,18:45:00,35.85,6,151
533,2025-02-21,21:30:00,53.55,4,68
534,2025-08-02,14:15:00,44.85,5,92
535,2025-05-25,19:15:00,11.7,8,129
536,2025-09-11,16:00:00,38.35,2,123
537,2025-04-04,12:00:00,56.3,8,158
538,2025-09-01,09:15:00,44.05,6,146
539,2025-08-10,16:00:00,9.45,5,114
540,2025-09-16,15:45:00,11.95,6,128
541,2025-02-08,21:45:00,28.4,6,62
542,2025-08-25,21:30:00,38.1,4,133
543,2025-02-01,21:15:00,25.15,8,46
544,2025-06-14,08:00:00,47.3,8,40
545,2025-03-15,14:30:00,11.7,2,38
546,2025-01-07,11:00:00,25.4,7,
547,2025-03-14,20:45:00,42.1,5,58
548,2025-03-27,20:45:00,33.6,5,102
549,2024-12-02,21:15:00,39.35,4,62
550,2024-12-14,11:45:00,38.6,3,
551,2025-09-15,19:45:00,18.65,8,130
552,2025-08-18,10:00:00,36.1,3,85
553,2025-05-18,16:45:00,36.35,7,60
554,2025-08-25,16:30:00,36.6,5,99
555,2025-08-23,13:00:00,26.15,6,14
556,2025-01-30,13:15:00,51.8,4,105
557,2025-09-06,15:15:00,18.65,3,8
558,2025-08-09,19:45:00,44.8,7,155
559,2025-09-30,15:00:00,8.95,8,
560,2025-01-04,21:15:00,12.45,6,116
561,2025-01-04,13:45:00,26.4,2,116
562,2025-03-16,21:45:00,44.35,8,57
563,2025-07-04,12:00:00,11.7,6,
564,2025-01-27,18:00:00,10.7,8,
565,2025-03-23,11:45:00,31.15,6,68
566,2025-05-23,10:30:00,29.4,6,47
567,2025-01-15,08:45:00,30.6,5,138
568,2025-02-04,14:15:00,11.95,8,52
569,2025-06-15,12:30:00,16.45,8,99
570,2025-04-09,17:45:00,10.95,3,130
571,2024-12-06,09:00:00,47.1,4,117
572,2025-08-24,20:00:00,47.1,1,41
573,2024-11-25,20:30:00,31.15,5,13
574,2025-08-09,09:30:00,27.65,2,45
575,2025-08-25,14:00:00,46.55,5,136
576,2025-07-03,19:00:00,10.95,3,22
577,2025-02-08,09:45:00,37.35,2,
578,2025-02-28,16:45:00,40.35,4,97
579,2025-08-25,14:00:00,42.3,8,76
580,2025-09-27,20:00:00,12.2,2,58
581,2025-07-26,18:15:00,23.9,8,5
582,2025-07-03,21:15:00,30.85,8,
583,2025-09-12,10:45:00,24.65,3,89
584,2024-12-06,16:45:00,7.95,4,17
585,2025-03-04,12:15:00,57.55,3,60
586,2025-08-25,21:45:00,66.0,1,94
587,2025-01-31,21:45:00,13.7,5,70
588,2025-04-04,19:15:00,18.9,8,69
589,2024-12-19,16:45:00,37.1,3,69
590,2025-04-10,13:45:00,34.1,8,124
591,2025-06-30,18:00:00,34.35,2,91
592,2025-06-03,12:45:00,13.45,5,
593,2025-08-09,16:30:00,17.45,5,123
594,2024-12-28,12:15:00,14.7,3,35
595,2025-07-12,09:00:00,28.15,4,63
596,2025-05-23,13:30:00,24.15,2,135
597,2025-06-13,09:00:00,11.95,2,
598,2025-03-20,11:45:00,56.55,6,44
599,2024-12-10,19:30:00,24.4,6,
600,2025-07-12,20:45:00,26.9,5,93
601,2025-05-02,15:15:00,39.85,2,22
602,2024-12-21,18:45:00,14.2,8,60
603,2025-04-05,20:30:00,36.85,6,80
604,2025-09-29,16:15:00,12.7,3,111
605,2025-09-27,18:00:00,43.35,8,34
606,2025-08-23,17:15:00,12.7,6,137
607,2025-08-25,21:45:00,20.9,8,82
608,2025-08-25,19:15:00,72.25,2,103
609,2025-09-06,14:15:00,10.7,8,
610,2025-08-14,18:45:00,16.95,6,40
